1,John Doe,john@example.com,85
2,Jane Smith,jane@example.com,92
3,Bob Johnson,bob@example.com,45
4,Alice Williams,alice@example.com,78
5,Charlie Brown,charlie@example.com,55
6,Diana Prince,diana@example.com,95
7,Eve Anderson,eve@example.com,62
8,Frank Miller,frank@example.com,38
9,Grace Lee,grace@example.com,88
10,Henry Davis,henry@example.com,72
11,Ivy Chen,ivy@example.com,41
12,Jack Wilson,jack@example.com,89
13,Kate Moore,kate@example.com,76
14,Leo Taylor,leo@example.com,54
15,Mia White,mia@example.com,91
